Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Yemen, Rep.",YEM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,80094088855.2814,84615045549.7647,88428524134.3966,96396994275.687,85876120603.7268,85440860540.9299,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207,92755605479.9207
South Africa,ZAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,608697898076.516,640223797147.009,634264625674.37,661487016257.719,696526225201.767,698463315669.415,731024717341.774,742688200700.391,759954918901.854,774110394019.95,791817133500.013,782329029153.218,796182639290.773,767391152773.916,843280245239.583
Zambia,ZMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,32099889161.7082,35261852123.7694,38750659226.177,43260717842.1382,46612238752.7655,49567431316.5811,53546651818.13,54700785564.6956,54731517891.6164,56043424009.9189,59154463773.684,61869932575.7693,62232372185.4722,60176229608.2428,68672119764.9363
Zimbabwe,ZWE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,20071668570.7541,16843609167.2042,19196782459.2674,23253025533.2756,27101368989.8634,31387948467.0715,34688215407.4666,36277750598.7166,38109087385.8666,40834213264.9256,104359364850.156,39306151205.7135,49040227035.1543,54509873679.9634,50310711158.7869
Aruba,ABW,Rule of Law: Estimate,RL.EST,0.826464056968689,0.847226142883301,1.42620670795441,1.41611361503601,1.3224583864212,1.30978834629059,1.29263317584991,1.0364248752594,1.22713792324066,1.2266480922699,1.29584264755249,1.25965404510498,1.22834599018097,1.27059960365295,1.24666583538055
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.85256004333496,-1.90330755710602,-1.87611877918243,-1.87005805969238,-1.9225001335144,-1.6518931388855,-1.60975515842438,-1.4377019405365,-1.51620066165924,-1.52253365516663,-1.58117640018463,-1.68912386894226,-1.74210047721863,-1.83140671253204,-1.87723398208618
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.3751335144043,-1.37856388092041,-1.23628926277161,-1.27295327186584,-1.27705323696136,-1.30477690696716,-1.29094779491425,-1.07495403289795,-1.03065872192383,-1.00395023822784,-1.03998208045959,-1.00106203556061,-1.02354824542999,-0.951058804988861,-0.983753621578217
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.661545991897583,-0.600079298019409,-0.49437016248703,-0.385760486125946,-0.442926466464996,-0.519839763641357,-0.518828868865967,-0.311199098825455,-0.31968680024147,-0.322631984949112,-0.414191573858261,-0.414752036333084,-0.426317363977432,-0.378028213977814,-0.280716270208359
Andorra,AND,Rule of Law: Estimate,RL.EST,1.16824507713318,1.1863876581192,1.21778512001038,1.19792461395264,1.3992737531662,1.40118777751923,1.40161538124084,1.63860523700714,1.51319181919098,1.51293611526489,1.53556883335114,1.53650796413422,1.51021492481232,1.61518156528473,1.64205121994019
United Arab Emirates,ARE,Rule of Law: Estimate,RL.EST,0.274766087532043,0.417219996452332,0.399278730154037,0.317414134740829,0.498547106981277,0.534359633922577,0.613428473472595,0.651002466678619,0.614161610603333,0.819037973880768,0.768334984779358,0.774245142936707,0.808277487754822,0.875135958194733,0.798968315124512
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.60147225856781,-0.699731647968292,-0.694468080997467,-0.59809422492981,-0.563123285770416,-0.623034238815308,-0.656328618526459,-0.866627335548401,-0.74863588809967,-0.320159524679184,-0.237312033772469,-0.219330430030823,-0.427360445261002,-0.486265957355499,-0.477947890758514
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.496518045663834,-0.337751358747482,-0.468710690736771,-0.48135831952095,-0.437706410884857,-0.418281972408295,-0.340888947248459,-0.417726755142212,-0.462551325559616,-0.160894498229027,-0.209393918514252,-0.197214365005493,-0.177464514970779,-0.125831425189972,-0.119838461279869
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.893503189086914,0.937939405441284,0.972667455673218,0.952869892120361,0.942094743251801,0.945719003677368,0.831786811351776,-0.175784200429916,0.553076863288879,0.472716420888901,0.40701898932457,0.376433491706848,0.363515615463257,0.407381147146225,0.303150534629822
Australia,AUS,Rule of Law: Estimate,RL.EST,1.74388742446899,1.75908350944519,1.73300874233246,1.75771832466125,1.73315370082855,1.75977957248688,1.77010083198547,1.91863083839417,1.79032063484192,1.7166656255722,1.64595770835876,1.67466557025909,1.69461703300476,1.61500358581543,1.63855969905853
Austria,AUT,Rule of Law: Estimate,RL.EST,1.94182562828064,1.91069889068604,1.77744269371033,1.80120265483856,1.79896306991577,1.85712373256683,1.83409059047699,1.93843615055084,1.81477534770966,1.76146185398102,1.8003545999527,1.85348308086395,1.86229813098907,1.77060890197754,1.75175452232361
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.880020380020142,-0.836160480976105,-0.879176020622253,-0.891145050525665,-0.938726484775543,-0.879532694816589,-0.756260693073273,-0.697012007236481,-0.716544568538666,-0.539356291294098,-0.58492249250412,-0.619800806045532,-0.610428035259247,-0.729642748832703,-0.606765031814575
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.0786669254303,-1.03810000419617,-1.15993535518646,-1.20540106296539,-1.15380430221558,-1.08392977714539,-1.07663321495056,-0.970566868782043,-1.18589973449707,-1.48439371585846,-1.41100382804871,-1.51381993293762,-1.45362734794617,-1.34065091609955,-1.31259107589722
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.31538724899292,1.33520579338074,1.37714815139771,1.41785252094269,1.43484890460968,1.44880962371826,1.45676612854004,1.54851686954498,1.45622563362122,1.39380347728729,1.32062590122223,1.33859252929688,1.3361576795578,1.32759404182434,1.29177582263947
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.51314514875412,-0.530703067779541,-0.65431421995163,-0.673685908317566,-0.658945083618164,-0.574936270713806,-0.568178832530975,-0.485574275255203,-0.555592477321625,-0.627077043056488,-0.645502924919128,-0.692261755466461,-0.675484120845795,-0.76691859960556,-0.626956880092621
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.395825952291489,-0.344681531190872,-0.20417246222496,-0.194905057549477,-0.350398898124695,-0.425855100154877,-0.526729941368103,-0.545770764350891,-0.541128635406494,-0.4552983045578,-0.414963334798813,-0.459257543087006,-0.463833779096603,-0.468718588352203,-0.4631387591362
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.827155947685242,-0.752373576164246,-0.784571468830109,-0.801013290882111,-0.733335554599762,-0.936167359352112,-0.871579885482788,-0.782356798648834,-0.769605338573456,-0.669500529766083,-0.679660320281982,-0.649216711521149,-0.643474996089935,-0.565531194210052,-0.62569397687912
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.0576844252645969,-0.121088020503521,-0.0403123535215855,-0.0970613583922386,-0.141564160585403,-0.115051358938217,-0.147255629301071,-0.0820291489362717,-0.159493550658226,-0.140443801879883,-0.1249605640769,-0.105849832296371,-0.0374133922159672,-0.127672985196114,-0.068868450820446
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.521369874477386,0.52541184425354,0.511492669582367,0.429740220308304,0.346452385187149,0.253650158643723,0.326326549053192,0.413116037845612,0.400280714035034,0.430527567863464,0.419615566730499,0.384083539247513,0.464022487401962,0.454586416482925,0.441515982151031
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,1.25134766101837,1.18566608428955,0.790569603443146,0.716390430927277,0.610664069652557,0.61443954706192,0.632059454917908,0.663780391216278,0.568194627761841,0.233021557331085,0.162333726882935,0.0689744353294373,0.045315820723772,0.0210983492434025,0.0706651136279106
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.46990641951561,-0.407430082559586,-0.360137552022934,-0.355648875236511,-0.331778317689896,-0.197178289294243,-0.139407932758331,-0.132231548428535,-0.264572232961655,-0.193005457520485,-0.201813697814941,-0.225580662488937,-0.225809708237648,-0.316137343645096,-0.303256839513779
Belarus,BLR,Rule of Law: Estimate,RL.EST,-1.16587352752686,-1.06889009475708,-1.02643048763275,-1.07244062423706,-1.11289703845978,-0.92303854227066,-0.88221949338913,-0.815213024616241,-0.879217445850372,-0.767325043678284,-0.881673812866211,-0.893020570278168,-0.859413027763367,-1.08517408370972,-1.1214325428009
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.0448062308132648,-0.133091673254967,-0.323144495487213,-0.281174033880234,-0.469881325960159,-0.435866832733154,-0.451571971178055,-0.814675211906433,-0.79416161775589,-0.97061550617218,-0.97460526227951,-0.842516541481018,-0.855883598327637,-0.826539576053619,-0.800227999687195
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.826464056968689,0.847226142883301,0.85692697763443,1.11120820045471,1.09095239639282,1.09636723995209,1.10143828392029,0.0195597112178802,0.83020007610321,0.811602592468262,0.814765870571136,0.816772699356079,0.784174919128418,0.621794641017914,0.635468721389771
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-0.832326352596283,-0.978549301624298,-1.11391890048981,-1.02979016304016,-0.984035789966583,-1.01876401901245,-1.05095064640045,-1.05833506584167,-1.16211700439453,-1.23873949050903,-1.24510812759399,-1.21190083026886,-1.18941926956177,-1.21863114833832,-1.17760181427002
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.40977942943573,-0.288044780492783,-0.103854693472385,0.0564144365489483,0.0451417230069637,-0.0769327953457832,-0.0920452028512955,-0.0529657602310181,-0.187332957983017,-0.201301991939545,-0.305428564548492,-0.30234295129776,-0.224319815635681,-0.231919765472412,-0.301417380571365
Barbados,BRB,Rule of Law: Estimate,RL.EST,1.31363642215729,1.29860198497772,1.00787806510925,1.07453846931458,1.07407629489899,1.02571737766266,1.03936994075775,1.07996773719788,1.06278419494629,0.763291597366333,0.625477015972137,0.363294839859009,0.323312878608704,0.294381260871887,0.341287851333618
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.401655524969101,0.457919597625732,0.782543301582336,0.773040950298309,0.842867791652679,0.787489593029022,0.589591979980469,0.47270455956459,0.383211046457291,0.535822093486786,0.619767785072327,0.599303364753723,0.588059186935425,0.897759139537811,0.86057460308075
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.367832779884338,0.421698182821274,0.219097927212715,0.161859259009361,0.205665543675423,0.260953724384308,0.317186415195465,0.417354077100754,0.534871518611908,0.510700881481171,0.626136064529419,0.5483518242836,0.584506988525391,0.576956927776337,0.605341255664825
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.544856309890747,0.610460937023163,0.586034953594208,0.596930503845215,0.601400375366211,0.594521701335907,0.494382411241531,0.539282619953156,0.483199238777161,0.379932075738907,0.360619574785233,0.383804857730865,0.432969272136688,0.382221907377243,0.453281432390213
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.57391834259033,-1.43187046051025,-1.32386815547943,-1.31199896335602,-1.30544543266296,-1.43880379199982,-1.80943930149078,-1.70663821697235,-1.71155834197998,-1.8510274887085,-1.75811660289764,-1.7171630859375,-1.76526069641113,-1.75423848628998,-1.68871343135834
Canada,CAN,Rule of Law: Estimate,RL.EST,1.79710018634796,1.79639303684235,1.7967267036438,1.79859042167664,1.72711992263794,1.75642120838165,1.74750757217407,1.88629722595215,1.8071414232254,1.8009147644043,1.76343929767609,1.71514165401459,1.71977615356445,1.61910331249237,1.59289026260376
Switzerland,CHE,Rule of Law: Estimate,RL.EST,1.82794570922852,1.80470788478851,1.74314093589783,1.74979496002197,1.72214198112488,1.81180202960968,1.79604589939117,1.99025726318359,1.90928101539612,1.90616285800934,1.88867199420929,1.88756000995636,1.86265933513641,1.77689027786255,1.76798534393311
Chile,CHL,Rule of Law: Estimate,RL.EST,1.19518756866455,1.21035730838776,1.19409048557281,1.22541570663452,1.26333856582642,1.28765678405762,1.25513780117035,1.34870362281799,1.21972906589508,0.96039354801178,0.981475472450256,0.940260529518127,0.924216628074646,0.930162131786346,0.889890670776367
China,CHN,Rule of Law: Estimate,RL.EST,-0.597397744655609,-0.479174673557281,-0.46321377158165,-0.472601860761642,-0.453809976577759,-0.545384466648102,-0.52588939666748,-0.396053194999695,-0.408455699682236,-0.32396873831749,-0.255178093910217,-0.186479195952415,-0.261681526899338,-0.102505102753639,0.0102688856422901
Cote d'Ivoire,CIV,Rule of Law: Estimate,RL.EST,-1.47171807289124,-1.43818151950836,-1.25304388999939,-1.23600256443024,-1.2826817035675,-1.09417271614075,-0.914694607257843,-0.593253374099731,-0.65147203207016,-0.663034617900848,-0.650803864002228,-0.60271030664444,-0.610495507717133,-0.656908571720123,-0.661023557186127
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.18581652641296,-1.10583662986755,-1.13095426559448,-1.0792441368103,-1.08089852333069,-1.04293036460876,-1.05831813812256,-0.897853672504425,-0.998327970504761,-1.0590637922287,-1.05129599571228,-1.10305547714233,-1.14145791530609,-1.16767132282257,-1.11640584468842
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,-1.6147369146347,-1.57367646694183,-1.64403963088989,-1.62714993953705,-1.62553715705872,-1.66291427612305,-1.58509337902069,-1.46303296089172,-1.6004239320755,-1.64798176288605,-1.71109914779663,-1.80356800556183,-1.8149026632309,-1.82387900352478,-1.72384572029114
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,-1.22322463989258,-1.19344258308411,-1.22013962268829,-1.21804785728455,-1.20752120018005,-1.14205086231232,-1.12121033668518,-1.11928927898407,-1.13607060909271,-1.14950513839722,-1.1574285030365,-1.13406419754028,-1.11022043228149,-1.11921632289886,-1.09928131103516
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.432980388402939,-0.381235986948013,-0.367777585983276,-0.271385610103607,-0.217361465096474,-0.32591912150383,-0.38826909661293,-0.252291530370712,-0.24723581969738,-0.266068160533905,-0.366633266210556,-0.383742153644562,-0.391183972358704,-0.491402626037598,-0.470828503370285
Comoros,COM,Rule of Law: Estimate,RL.EST,-1.0396374464035,-1.06991398334503,-1.15797221660614,-1.07623052597046,-1.04647481441498,-1.07892954349518,-0.955367743968964,-0.898686826229095,-0.852907538414001,-1.04841732978821,-1.10258769989014,-1.14288258552551,-1.15722632408142,-1.27696967124939,-1.25784337520599
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.610765516757965,0.571345150470734,0.532929718494415,0.463277846574783,0.506770431995392,0.514070093631744,0.551066100597382,0.661852240562439,0.567587554454803,0.284915566444397,0.352905750274658,0.393062382936478,0.446793973445892,0.430836319923401,0.327734887599945
Costa Rica,CRI,Rule of Law: Estimate,RL.EST,0.354344755411148,0.453689336776733,0.578809499740601,0.535760879516602,0.443259000778198,0.528911471366882,0.563855290412903,0.583374798297882,0.492798924446106,0.431041657924652,0.42886871099472,0.467835366725922,0.529464185237885,0.498832434415817,0.423667222261429
Cuba,CUB,Rule of Law: Estimate,RL.EST,-0.690431654453278,-0.827655673027039,-0.712426066398621,-0.722509026527405,-0.693881630897522,-0.708632588386536,-0.6989426612854,-0.654899537563324,-0.718148410320282,-0.458859443664551,-0.449702054262161,-0.463792055845261,-0.340494513511658,-0.28538504242897,-0.419912159442902
Curacao,CUW,Rule of Law: Estimate,RL.EST,-0.24300883710384402,-0.2402486726641655,-0.2059109956026075,-0.20764327794313397,-0.246010892093182,-0.2456547021865845,-0.21780061721801752,-0.2045233100652695,-0.217048801481724,-0.17385371774435,-0.17170362919569,-0.19184678047895398,-0.182900622487068,-0.1512773260474205,-0.1180945970118045
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,1.09091985225677,1.11797952651978,0.890962958335876,0.894479393959045,0.876532793045044,0.890999794006348,0.895762860774994,0.586524128913879,0.78342866897583,0.764110445976257,0.744043588638306,0.739683032035828,0.733536839485168,0.726127982139587,0.741448163986206
Cyprus,CYP,Rule of Law: Estimate,RL.EST,1.10558974742889,1.20663857460022,1.20613396167755,1.2096072435379,1.06531310081482,1.09355938434601,1.02995848655701,1.07471680641174,1.01026701927185,0.693160891532898,0.854454517364502,0.72105348110199,0.726727247238159,0.547239065170288,0.605679333209991
Czechia,CZE,Rule of Law: Estimate,RL.EST,0.878743946552277,0.900237202644348,0.95621782541275,0.930919170379639,1.0174971818924,1.02260160446167,1.02387058734894,1.13887214660645,1.10708737373352,0.988326966762543,1.08858931064606,1.01980626583099,1.01709353923798,1.01845061779022,1.09040725231171
Germany,DEU,Rule of Law: Estimate,RL.EST,1.75559067726135,1.73402619361877,1.64867222309113,1.63750469684601,1.61821925640106,1.66923201084137,1.64198386669159,1.85020470619202,1.75914001464844,1.58330154418945,1.5740704536438,1.59137535095215,1.5813193321228,1.52012777328491,1.5718047618866
Djibouti,DJI,Rule of Law: Estimate,RL.EST,-0.771052896976471,-0.656676888465881,-0.697536051273346,-0.75210177898407,-0.821726500988007,-0.803623497486115,-0.774617910385132,-0.875949561595917,-0.944797039031982,-1.00072288513184,-0.931997954845428,-0.950413644313812,-0.946187078952789,-1.04298675060272,-1.02947497367859
Dominica,DMA,Rule of Law: Estimate,RL.EST,0.701219737529755,0.693388700485229,0.741603672504425,0.717768132686615,0.687728583812714,0.699136793613434,0.720875084400177,0.549958646297455,0.702053427696228,0.649963021278381,0.65121990442276,0.704450607299805,0.718337118625641,0.791576862335205,0.691698372364044
Denmark,DNK,Rule of Law: Estimate,RL.EST,1.99517047405243,1.95405626296997,1.91712713241577,1.89844179153442,1.91979134082794,1.87506687641144,1.90228533744812,2.10073828697205,2.01513481140137,1.88294720649719,1.80426836013794,1.77322614192963,1.83337736129761,1.80679368972778,1.89572131633759
Dominican Republic,DOM,Rule of Law: Estimate,RL.EST,-0.625862598419189,-0.682735621929169,-0.809174060821533,-0.855494201183319,-0.808169066905975,-0.716865837574005,-0.534985601902008,-0.383904725313187,-0.529519259929657,-0.394124180078506,-0.428010761737823,-0.365240544080734,-0.320300966501236,-0.171013608574867,-0.11635073274374
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.791886448860168,-0.767772257328033,-0.82556688785553,-0.816793382167816,-0.845334827899933,-0.812617719173431,-0.69340193271637,-0.804650962352753,-0.941968441009521,-0.916658818721771,-0.925012648105621,-0.806978523731232,-0.861034154891968,-0.798027575016022,-0.833022832870483
Ecuador,ECU,Rule of Law: Estimate,RL.EST,-1.03286147117615,-1.10530638694763,-1.20504021644592,-1.14322912693024,-1.14428532123566,-1.06392514705658,-0.870363593101501,-0.970792293548584,-0.956418454647064,-0.649083614349365,-0.718140542507172,-0.663264274597168,-0.542950987815857,-0.540949642658234,-0.354992210865021
"Egypt, Arab Rep.",EGY,Rule of Law: Estimate,RL.EST,-0.246213480830193,-0.129783600568771,-0.0833449959754944,-0.174863860011101,-0.483893096446991,-0.536399841308594,-0.73585569858551,-0.698402404785156,-0.601831138134003,-0.477475792169571,-0.448036134243011,-0.301445573568344,-0.332123339176178,-0.317483067512512,-0.260645717382431
Spain,ESP,Rule of Law: Estimate,RL.EST,1.1538097858429,1.18374812602997,1.15600228309631,1.15678811073303,1.16937839984894,1.03779828548431,1.02537167072296,0.966455936431885,0.886066854000092,0.965352892875671,1.02435386180878,0.978094100952148,0.990192174911499,0.860964477062225,0.843258261680603
Estonia,EST,Rule of Law: Estimate,RL.EST,1.12227547168732,1.15543973445892,1.12465858459473,1.15312993526459,1.17581498622894,1.15094149112701,1.19137024879456,1.36985957622528,1.30050790309906,1.19259226322174,1.24847757816315,1.20345735549927,1.2427259683609,1.33508813381195,1.38935804367065
Ethiopia,ETH,Rule of Law: Estimate,RL.EST,-0.659463107585907,-0.706700682640076,-0.832281887531281,-0.807519137859344,-0.741804361343384,-0.67731785774231,-0.649658679962158,-0.468583732843399,-0.5272017121315,-0.507818698883057,-0.469820439815521,-0.444717615842819,-0.482023179531097,-0.402888596057892,-0.623265862464905
Finland,FIN,Rule of Law: Estimate,RL.EST,1.89684998989105,1.91038119792938,1.9625688791275,1.96125268936157,1.93953800201416,1.94403350353241,1.95568263530731,2.1247615814209,2.05303645133972,2.00771570205688,2.02406764030457,2.03439903259277,2.01262903213501,2.01859211921692,2.01347613334656
Fiji,FJI,Rule of Law: Estimate,RL.EST,-0.621160268783569,-0.574613034725189,-0.865079581737518,-0.744324743747711,-0.711457431316376,-0.671125769615173,-0.725811660289764,-0.513779759407043,-0.362949073314667,-0.0901002138853073,-0.0815383344888687,0.176708772778511,0.422473400831223,0.197523906826973,0.300674289464951
France,FRA,Rule of Law: Estimate,RL.EST,1.45637440681458,1.49627375602722,1.44575703144073,1.49973154067993,1.42973482608795,1.43693244457245,1.40236282348633,1.45350301265717,1.36679553985596,1.35156190395355,1.39806187152863,1.39622473716736,1.37148487567902,1.29872727394104,1.25916755199432
"Micronesia, Fed. Sts.",FSM,Rule of Law: Estimate,RL.EST,1.15891671180725,0.506980240345001,0.328725516796112,0.142505496740341,-0.04986921697855,0.0326781161129475,0.120454177260399,-0.244081646203995,-0.283126622438431,-0.0025845784693956,0.0496921613812447,0.0346771813929081,0.0816381499171257,0.190418258309364,0.521661937236786
Gabon,GAB,Rule of Law: Estimate,RL.EST,-0.706393182277679,-0.624440610408783,-0.503719747066498,-0.461410343647003,-0.403134196996689,-0.414806485176086,-0.522603034973145,-0.473323464393616,-0.564373016357422,-0.611776113510132,-0.723504424095154,-0.719786107540131,-0.756188631057739,-0.679911434650421,-0.708188772201538
United Kingdom,GBR,Rule of Law: Estimate,RL.EST,1.72019219398499,1.69664943218231,1.73159778118134,1.77469253540039,1.65874373912811,1.72941386699677,1.68938088417053,1.87468194961548,1.77068817615509,1.63999843597412,1.64506530761719,1.60317921638489,1.56992924213409,1.46396434307098,1.39551365375519
Georgia,GEO,Rule of Law: Estimate,RL.EST,-0.344459146261215,-0.262944459915161,-0.199315324425697,-0.205984979867935,-0.119617037475109,-0.0062173483893275,0.0049099563620984,0.224748969078064,0.22280541062355,0.335771918296814,0.262742727994919,0.270510762929916,0.248691543936729,0.222878128290176,0.14443676173687
Ghana,GHA,Rule of Law: Estimate,RL.EST,0.0392334312200546,-0.0623820126056671,-0.0423569194972515,-0.0332933515310287,-0.0031440763268619,0.0166694633662701,0.154123291373253,0.0634023994207382,0.123091638088226,0.0332300700247288,0.105520524084568,0.0510871484875679,0.0127408038824797,-0.0821285173296928,-0.107684418559074
Guinea,GIN,Rule of Law: Estimate,RL.EST,-1.45206928253174,-1.54027628898621,-1.55229949951172,-1.48563277721405,-1.44817268848419,-1.39905977249146,-1.38354921340942,-1.36796677112579,-1.18813967704773,-1.24484181404114,-1.25424540042877,-1.2317943572998,-1.23716998100281,-1.30379867553711,-1.15877056121826
"Gambia, The",GMB,Rule of Law: Estimate,RL.EST,-0.330507665872574,-0.425357460975647,-0.519139885902405,-0.570687115192413,-0.558868944644928,-0.599867880344391,-0.649502038955688,-0.696650505065918,-0.745471298694611,-0.798708558082581,-0.453931570053101,-0.455757111310959,-0.405600309371948,-0.393534988164902,-0.405620902776718
Guinea-Bissau,GNB,Rule of Law: Estimate,RL.EST,-1.32537257671356,-1.40603303909302,-1.34702742099762,-1.33695018291473,-1.32349252700806,-1.54239308834076,-1.6119669675827,-1.33877146244049,-1.31254017353058,-1.53768706321716,-1.46411693096161,-1.26597440242767,-1.30332553386688,-1.40028738975525,-1.4620885848999
Equatorial Guinea,GNQ,Rule of Law: Estimate,RL.EST,-0.986280679702759,-0.871392250061035,-0.988199770450592,-1.01070928573608,-1.00837445259094,-1.04977643489838,-1.16851544380188,-1.31710946559906,-1.33420670032501,-1.39062714576721,-1.36834931373596,-1.42317736148834,-1.28475344181061,-1.1583423614502,-1.20275568962097
Greece,GRC,Rule of Law: Estimate,RL.EST,0.859287738800049,0.853603005409241,0.646844327449799,0.583895683288574,0.533327162265778,0.388231575489044,0.467316538095474,0.373986780643463,0.252492129802704,0.112394168972969,0.0502666123211384,0.113017320632935,0.158072605729103,0.288973033428192,0.321165591478348
Grenada,GRD,Rule of Law: Estimate,RL.EST,0.191248714923859,0.127722352743149,0.157519295811653,0.118389397859573,0.172344386577606,0.186642453074455,0.199559435248375,-0.137623712420464,0.174890741705894,0.620332658290863,0.454057425260544,0.249509677290916,0.187325745820999,0.32769039273262,0.490485429763794
Greenland,GRL,Rule of Law: Estimate,RL.EST,1.71611428260803,1.71611428260803,1.71611428260803,1.72867774963379,1.73314356803894,1.71242761611938,1.68925178050995,1.7345507144928,1.67168784141541,1.68990647792816,1.68990814685822,1.70181095600128,1.71062612533569,1.7011866569519,1.68684887886047
Guatemala,GTM,Rule of Law: Estimate,RL.EST,-1.12104868888855,-1.12228560447693,-1.01313829421997,-0.944123864173889,-1.03141474723816,-1.08391964435577,-1.09425866603851,-0.956323862075806,-0.95410692691803,-1.03206479549408,-1.07728862762451,-1.0757360458374,-1.10042715072632,-1.10039258003235,-1.11025655269623
Guyana,GUY,Rule of Law: Estimate,RL.EST,-0.4570552110672,-0.580651640892029,-0.555844962596893,-0.477120876312256,-0.510029077529907,-0.518265724182129,-0.524507462978363,-0.614713907241821,-0.541080117225647,-0.31342539191246,-0.299223601818085,-0.38360184431076,-0.445168942213058,-0.43357652425766,-0.416621565818787
"Hong Kong SAR, China",HKG,Rule of Law: Estimate,RL.EST,1.51000499725342,1.47821688652039,1.48886930942535,1.53603065013885,1.54570031166077,1.57356703281403,1.56558108329773,1.85631024837494,1.79026436805725,1.68411242961884,1.68126904964447,1.72965824604034,1.56565248966217,1.55023634433746,1.41165292263031
Honduras,HND,Rule of Law: Estimate,RL.EST,-0.928942918777466,-0.971363067626953,-0.895501971244812,-0.875314056873322,-0.905360877513885,-1.1464250087738,-1.17302989959717,-0.943307340145111,-0.942611634731293,-1.1369264125824,-1.06041383743286,-1.05719459056854,-1.0414981842041,-1.01033341884613,-1.08797383308411
Croatia,HRV,Rule of Law: Estimate,RL.EST,0.0384777560830116,0.0250067282468081,0.0438759475946426,0.0804690346121788,0.109395980834961,0.145079001784325,0.177962198853493,0.218224167823792,0.127412468194962,0.33985698223114,0.308922588825226,0.3015296459198,0.348268538713455,0.236185565590858,0.275418937206268
Haiti,HTI,Rule of Law: Estimate,RL.EST,-1.34994995594025,-1.285773396492,-1.33430373668671,-1.38317584991455,-1.418013215065,-1.33210027217865,-1.30056750774384,-1.18032288551331,-1.1951984167099,-1.01214683055878,-1.09179079532623,-1.06081771850586,-0.973829090595245,-1.03054046630859,-1.26286470890045
Hungary,HUN,Rule of Law: Estimate,RL.EST,0.941449284553528,0.913386523723602,0.771155953407288,0.77266937494278,0.756602585315704,0.611102879047394,0.583020031452179,0.509202778339386,0.382024466991425,0.413626253604889,0.537432312965393,0.5550696849823,0.498684227466583,0.492385804653168,0.505373418331146
Indonesia,IDN,Rule of Law: Estimate,RL.EST,-0.698989927768707,-0.673782587051392,-0.611935317516327,-0.656044900417328,-0.59964394569397,-0.583569049835205,-0.533516585826874,-0.31091845035553,-0.424549460411072,-0.33899450302124,-0.351397454738617,-0.314401388168335,-0.347653895616531,-0.365602731704712,-0.253444284200668
India,IND,Rule of Law: Estimate,RL.EST,0.0968981608748436,0.0958504602313042,0.0179808251559734,-0.0358108207583427,-0.0862971395254135,-0.0628807470202446,-0.0458925999701023,-0.0691893845796585,-0.0707211047410965,-0.0561538562178612,-0.0297500882297754,-0.0014220889424905,-0.0672271549701691,-0.0584247447550297,-0.108451806008816
Ireland,IRL,Rule of Law: Estimate,RL.EST,1.72822141647339,1.70412838459015,1.74309933185577,1.76081323623657,1.74646854400635,1.7272036075592,1.70915448665619,1.76058638095856,1.72836124897003,1.46621227264404,1.38122129440308,1.41250944137573,1.34828162193298,1.45630073547363,1.49300801753998
